ID,Имя,Telegram ID,Тариф,Статус,Начало,Окончание,Амба
1,Суши Хаус Калининград 🐾 Доставка Вкусных Роллов,6720947077,490,,07.01.2026,07.04.2026,нет
2,Oksana,1923982685,490,активно,20.02.2026,22.03.2026,нет
3,Елена,1082360924,,активно,18.12.2025,17.01.2026,нет
4,Ольга,441354471,1190,,23.02.2026,25.03.2026,нет
5,Ирина,581792282,490,активно,29.01.2026,28.06.2026,нет
6,Елена,1772299189,490,активно,13.02.2026,14.05.2026,нет
7,Миша,2106028831,490,активно,17.01.2026,17.04.2026,нет
8,The Maze Runner,1067367237,290,,,,нет
9,Карина,684805319,490,активно,16.02.2026,18.03.2026,нет
10,I K 🇷🇺,1708103877,290,активно,03.12.2025,02.01.2026,да
11,Лена,1982305552,490,активно,20.01.2026,20.04.2026,нет
12,Света,817982662,490,активно,22.02.2026,24.03.2026,нет
13,BaRBariS,423398994,490,активно,06.03.2026,06.04.2026,нет
14,Julia,500877984,490,,15.11.2025,15.12.2025,нет
15,Yaroshevich Dmitriy,400083490,490,активно,24.02.2026,26.03.2026,нет
16,Serginio,399544423,1190,активно,14.02.2026,16.03.2026,нет
17,Nastya 💗,652705600,1190,активно,14.01.2026,13.02.2026,нет
18,Anastasia,1194291380,1190,не активно,16.02.2026,18.03.2026,нет
19,Евгения,709880278,490,активно,11.02.2026,13.03.2026,нет
20,Юрий,8364006549,,активно,15.11.2025,04.12.2025,нет
21,светлана величко,5215647444,490,активно,10.01.2026,10.02.2026,нет
22,Марина,5299875125,,активно,07.01.2026,06.02.2026,нет
23,Ольга Пермякова,537753293,290,активно,,,нет
24,Alexandra Aku,265555326,290,не активно,05.02.2026,07.03.2026,нет
25,Агата,1660342549,1190,,14.02.2026,16.03.2026,нет
26,Aleksandr Vaitkevich,849444433,290,,31.01.2026,02.03.2026,нет
27,Марина,984208044,1190,активно,30.01.2026,01.03.2026,нет
28,Елена Елена,5291398412,,активно,24.12.2025,23.01.2026,нет
29,Stephen,380910668,490,,17.01.2026,16.02.2026,нет
30,Nataly,1034621378,,активно,26.12.2025,25.01.2026,нет
31,lex,986592341,,активно,13.12.2025,12.01.2026,нет
32,Elena,759387427,,активно,17.12.2025,16.01.2026,нет
