Тип,SKU,Название в JSON,Цена в JSON,Источник,Название во Frontpad,Цена во Frontpad,Разница в цене
Расхождение в цене,1030,"Суши пицца №3 (курица)",580,public/запеченные роллы/zaproll.json,"Суши пицца №3 (курица) **",0,580
Расхождение в цене,328,"сет Богемия",4830,public/сеты/set.json,"сет Богемия",4850,-20
Расхождение в цене,1075,"сет Джонни Д",2830,public/подписка сеты/sets-sub.json,"сет Джонни Д *",2840,-10
Расхождение в цене,1080,"сет Жаркая осень",1930,public/подписка сеты/sets-sub.json,"сет Жаркая осень *",1920,10
Расхождение в цене,1081,"сет Коби Брайант",2880,public/подписка сеты/sets-sub.json,"сет Коби Брайант *",2900,-20
Расхождение в цене,325,"сет На дружную компанию",3530,public/сеты/set.json,"сет На дружную компанию",3560,-30
Расхождение в цене,403,"сет Ниватори Шива",1480,public/сеты/set.json,"сет Ниватори Шива",1470,10
Расхождение в цене,1089,"сет Сердца трёх",3030,public/подписка сеты/sets-sub.json,"сет Сердца трех *",3040,-10
Расхождение в цене,1095,"сет Эксклюзив",1880,public/подписка сеты/sets-sub.json,"сет Эксклюзив *",1870,10
Расхождение в цене,1101,"Тёплый лосось микс",1830,public/подписка сеты/sets-sub.json,"Тёплый лосось микс *",1820,10
Расхождение в цене,1096,"Трипл сет",1780,public/подписка сеты/sets-sub.json,"Трипл сет *",1770,10
Расхождение в цене,1145,"Бонито мидии",540,public/подписка роллы/rolls-sub.json,"Бонито мидии *",670,-130
Расхождение в цене,1111,"Детройт",540,public/подписка роллы/rolls-sub.json,"Детройт *",620,-80
Расхождение в цене,1071,"сет Богемия",4830,public/подписка сеты/sets-sub.json,"сет Богемия *",4850,-20
Расхождение в цене,1084,"сет На дружную компанию",3530,public/подписка сеты/sets-sub.json,"сет На дружную компания *",3560,-30
Расхождение в цене,1100,"сет Ниватори Шива",1480,public/подписка сеты/sets-sub.json,"сет Ниватори Шива *",1470,10
Отсутствует во Frontpad,382,"сет Джуниор",1680,public/сеты/set.json,"",0,0
Отсутствует во Frontpad,1110,"Гуччи",610,public/подписка роллы/rolls-sub.json,"",0,0
