Категория;Название;Цена;Артикул
Сеты;сет Богемия;4 850р.;328
Сеты;сет Дамский угодник;1 930р.;49
Сеты;сет Дары поднебесной;2 830р.;405
Сеты;сет Джонни Д;2 840р.;330
Сеты;сет Джуниор;1 640р.;382
Сеты;сет Домино;2 030р.;50
Сеты;сет Душевное спокойствие;2 730р.;400
Сеты;сет Жаркая осень;1 920р.;51
Сеты;сет Квартет удовольствия;3 030р.;401
Сеты;сет Коби Брайант;2 900р.;102
Сеты;сет Любимый;2 630р.;103
Сеты;сет Мамина радость;2 630р.;331
Сеты;сет На дружную компанию;3 560р.;325
Сеты;сет Ниватори Шива;1 470р.;403
Сеты;сет Олимпия;2 130р.;56
Сеты;сет Премиум лайт;2 430р.;57
Сеты;сет Сердца Трёх;3 040р.;60
Сеты;сет Сливочный;1 980р.;61
Сеты;сет Тёплое Удовольствие;2 630р.;62
Сеты;сет Токийский дрифт;2 630р.;412
Сеты;сет Филадельфия люкс;4 830р.;65
Сеты;сет Хоккайдо;1 930р.;406
Сеты;сет Эксклюзив;1 870р.;334
Сеты;Тёплый лосось микс;1 820р.;404
Сеты;Трипл сет;1 770р.;64
Запеченные роллы;Горячий Дон жуан;610р.;7
Запеченные роллы;Запеченный лайт;610р.;386
Запеченные роллы;Запеченный лосось файр;480р.;317
Запеченные роллы;Запеченный Мидуэй;610р.;22
Запеченные роллы;Запеченный ролл с беконом;610р.;24
Запеченные роллы;Запеченный ролл с угрем;890р.;25
Запеченные роллы;Запеченный тори ролл;580р.;387
Запеченные роллы;Кани гриль;480р.;31
Запеченные роллы;Клеопатра;1 105р.;392
Запеченные роллы;Краб дуэт гриль;600р.;35
Запеченные роллы;Мидии маки гриль;600р.;38
Запеченные роллы;Ниагара;480р.;320
Запеченные роллы;Суши пицца №1 (лосось);670р.;124
Запеченные роллы;Суши пицца №2 (креветки);680р.;125
Запеченные роллы;Суши пицца №3 (курица);580р.;327
Запеченные роллы;Сяке Кани гриль;670р.;73
Запеченные роллы;Сяке кунсей гриль;700р.;74
Запеченные роллы;Сяке терияки;650р.;408
Запеченные роллы;Сяке хот;480р.;409
Запеченные роллы;Тёплый ролл с лососем;690р.;116
Запеченные роллы;Тилапийский дракон;650р.;411
Запеченные роллы;Туна гриль;630р.;117
Запеченные роллы;Фила Кани гриль;740р.;83
Запеченные роллы;Фила эби гриль;810р.;416
Запеченные роллы;Чикен гриль;580р.;95
Запеченные роллы;Чикен фиера;500р.;420
Запеченные роллы;Эби гриль;670р.;99
Запеченные роллы;Эби кани гриль;690р.;318
Запеченные роллы;Эби свит чили;750р.;422
Запеченные роллы;Яки сяке хот;700р.;424
Роллы;Авокадо маки;340р.;312
Роллы;Аге Гурме;480р.;1
Роллы;Аляска Кунсей;560р.;2
Роллы;Бархатный тунец;600р.;381
Роллы;Благородный Сёгун;610р.;341
Роллы;Бонито мидии;540р.;384
Роллы;Бонито тунец;560р.;385
Роллы;Бруклин;560р.;5
Роллы;Гламур;470р.;309
Роллы;Гранд лосось;740р.;380
Роллы;Гуччи;610р.;348
Роллы;Детройт;490р.;16
Роллы;Дракон;990р.;19
